p,d,q,P,D,Q,s,MSE,MAE,R2,AIC,BIC,fit_time,status
36,1,12,0,0,0,288,0.0026294703923583993,0.030548357055798704,-1.226110201031493,-86775.3348534944,-86357.41474415778,816.7856273651123,ok
36,1,24,0,0,0,288,0.002797966388928566,0.031784421805880474,-1.36875894805214,-86827.64502032456,-86316.85377557982,962.0790276527405,ok
36,1,36,0,0,0,288,0.002175764731306977,0.027648361418254486,-0.8420028905755537,-86688.42729511256,-86084.76951117076,1278.870066165924,ok
12,1,72,0,0,0,288,0.002810450077756488,0.031943999486723836,-1.3793276417050908,-86614.28498007178,-85917.94789579358,5898.184715270996,ok
72,0,72,0,0,0,288,0.0010798774348947156,0.010142878273375065,0.08577553081830203,-89097.26842215064,-87936.69775736285,9531.617907047272,ok
24,1,60,0,0,0,288,0.002818015837482549,0.031992029755615076,-1.3857328155201998,-86656.92615393932,-85960.52531523106,4176.99432182312,ok
36,1,48,0,0,0,288,0.0028061441604930832,0.031767758696712084,-1.3756822512216238,-86707.743317925,-86011.27876991723,2567.16512131691,ok
48,1,12,0,0,0,288,0.0026571728311169888,0.030419476724368538,-1.249563091656603,-86651.43214472308,-86140.68758433042,1753.0078825950623,ok
48,1,36,0,0,0,288,1.7065812734721615e+48,2.0712584635769365e+23,-1.4447920740260926e+51,-83475.80239533153,-82779.33254025062,2506.8226923942566,ok
24,1,72,0,0,0,288,0.0028241407422383877,0.0320319778686857,-1.390918161206899,-86598.6771488361,-85809.49511998748,6927.054912567139,ok
48,1,48,0,0,0,288,0.00274200711634642,0.03174839333067188,-1.3213838158204032,-86712.7181378963,-85923.39165015418,2791.0436277389526,ok
36,1,60,0,0,0,288,0.0027925606225861544,0.031782415919067386,-1.3641824251012804,-86643.0043704239,-85853.75008655454,4616.236353635788,ok
48,1,60,0,0,0,288,0.0027886993746445115,0.03187985081459265,-1.3609134917614782,-86611.48129005941,-85729.37356102896,5290.770702838898,ok
36,1,72,0,0,0,288,0.002817111835151916,0.03205922113581438,-1.3849674869522017,-86588.87684508531,-85706.84987166626,7767.773562669754,ok
60,1,12,0,0,0,288,0.0024203429724944507,0.028049542232781246,-1.0490628822910133,-86588.09834580583,-85984.54634953834,3716.78835773468,ok
60,1,36,0,0,0,288,9.511779880014457e+165,8.676149691768488e+81,-8.052674896968461e+168,-81052.2319967226,-80262.97169391128,4319.318192720413,ok
60,1,48,0,0,0,288,0.00279733730224936,0.031982936823216346,-1.3682263631339064,-86650.1804763461,-85768.06602026285,4913.715044498444,ok
