|num_files_total|count_moving_mean|count_moving_std|files_size_MB_total|size_moving_mean|size_moving_std
2025-07-06 11:10:00|1957|1054.6666666666667|1218.8900564435626|1562.0863|3894.074623333332|8891.620862614584
2025-07-06 11:15:00|76|1041.8333333333333|1229.1297611306102|138.45801|3665.039182499999|8955.094396720717
2025-07-06 11:20:00|1214|1018.25|1222.298514721723|123.6396|3665.0937991666656|8955.070831982437
2025-07-06 11:25:00|3537|1213.6666666666667|1423.4979537190936|1964.5212|3608.7475241666652|8964.225095515541
2025-07-06 11:30:00|2366|1282.0833333333333|1460.12860319864|292.71494|3621.404179999999|8958.989290661313
2025-07-06 11:35:00|86|1278.6666666666667|1463.1220873270508|30.098637|3336.996708083332|9019.138097139412
2025-07-06 11:40:00|87|1159.6666666666667|1499.7658201037711|2066.3022|3377.9822164166653|9011.514856329002
2025-07-06 11:45:00|99|1161.5|1498.3348029790284|162.67462|734.2136014166655|793.7342777754735
2025-07-06 11:50:00|1204|1255.3333333333333|1459.0550075824895|798.10144|798.8803247499987|761.3952907537335
2025-07-06 11:55:00|96|915.8333333333334|1163.1815955569639|26.034576|718.1229519166654|789.5608089625559
2025-07-06 12:00:00|1304|1007.25|1145.3800580037826|185.07066|626.0069402499988|781.1539547067949
2025-07-06 12:05:00|102|1010.6666666666666|1142.3579548327739|1258.0425|717.3120569166655|786.0544190958673
2025-07-06 12:10:00|1946|1009.75|1141.5336673249653|1556.5328|716.8492652499987|785.5132897036964
2025-07-06 12:15:00|79|1010.0|1141.3108890458227|29.745241|707.7898678333321|793.3778782765494
2025-07-06 12:20:00|1422|1027.3333333333333|1146.2594766800444|38994.56|3947.033234499999|11064.057687317389
2025-07-06 12:25:00|1209|833.3333333333334|838.6115509181545|1035.3247|3869.6001928333317|11082.430155647266
2025-07-06 12:30:00|3158|899.3333333333334|988.051280720466|1392.62|3961.258947833332|11054.671355413235
2025-07-06 12:35:00|1217|993.5833333333334|956.8652853157778|167.79803|3972.733897249999|11050.290373766908
2025-07-06 12:40:00|1244|1090.0|914.5671604147574|2051.3508|3971.4879472499983|11050.525710866112
2025-07-06 12:45:00|86|1088.9166666666667|915.8545396943827|484.37213|3998.2960730833324|11040.831642776126
2025-07-06 12:50:00|72|994.5833333333334|960.1503157255636|738.29987|3993.3126089166653|11042.420800715894
2025-07-06 12:55:00|1240|1089.9166666666667|918.7190151444023|124.46032|4001.5147542499994|11039.242168825182
2025-07-06 13:00:00|1263|1086.5|917.9263686058048|146.82367|3998.327505083332|11040.449678792414
2025-07-06 13:05:00|71|1083.9166666666667|920.9874600205875|25.018993|3895.5755461666654|11073.958573041356
2025-07-06 13:10:00|75|928.0|920.1483082041335|32.22315|3768.5497419999992|11111.905520907332
2025-07-06 13:15:00|4169|1268.8333333333333|1268.595274189918|1907.12|3924.997638583332|11067.608091826261
2025-07-06 13:20:00|1195|1249.9166666666667|1267.795901148809|122.874626|685.6905240833321|743.2145055438203
2025-07-06 13:25:00|90|1156.6666666666667|1311.4792712002356|30.249157|601.9342288333321|756.7408430262727
2025-07-06 13:30:00|1302|1002.0|1153.9844807527538|844.1218|556.2260454999988|720.3297043818842
2025-07-06 13:35:00|1235|1003.5|1154.3010084816867|119.792|552.2255429999988|722.8120601805534
2025-07-06 13:40:00|72|905.8333333333334|1181.3669150093917|2021.1343|549.7075013333321|717.1452453099253
2025-07-06 13:45:00|1246|1002.5|1155.357441739066|155.81949|522.3281146666654|726.0825032341775
